Data,total_quantidade
2023-01-01,999
2023-02-01,855
2023-03-01,864
2023-04-01,1052
2023-05-01,1043
2023-06-01,657
2023-07-01,822
2023-08-01,716
2023-09-01,901
2023-10-01,738
2023-11-01,978
2023-12-01,858
2024-01-01,832
2024-02-01,797
2024-03-01,818
2024-04-01,700
2024-05-01,891
2024-06-01,1021
2024-07-01,606
2024-08-01,1066
2024-09-01,779
2024-10-01,805
2024-11-01,933
2024-12-01,1123
2025-01-01,1030
2025-02-01,761
2025-03-01,937
2025-04-01,1076
2025-05-01,726
2025-06-01,1087
2025-07-01,783
2025-08-01,1113
2025-09-01,1035
2025-10-01,530
2025-11-01,592
2025-12-01,1058
